Date/Time,Power Delivered (W),Energy Delivered (Wh),Cumulative Energy Delivered (Wh)
4/21/2019 11:30,1139,,
4/21/2019 11:45,14856,3714,4853
4/21/2019 12:00,14892,3723,8576
4/21/2019 12:15,15524,3881,12457
4/21/2019 12:30,11136,2784,15241
4/21/2019 12:45,12876,3219,18460
4/21/2019 13:00,17908,4477,22937
4/21/2019 13:15,18144,4536,27473
4/21/2019 13:30,18620,4655,32128
4/21/2019 13:45,19032,4758,36886
4/21/2019 14:00,18784,4696,41582
4/21/2019 14:15,18424,4606,46188
4/21/2019 14:30,18232,4558,50746
4/21/2019 14:45,17904,4476,55222
4/21/2019 15:00,17464,4366,59588
4/21/2019 15:15,16936,4234,63822
4/21/2019 15:30,16332,4083,67905
4/21/2019 15:45,15564,3891,71796
4/21/2019 16:00,14720,3680,75476
4/21/2019 16:15,14032,3508,78984
4/21/2019 16:30,12248,3062,82046
4/21/2019 16:45,10212,2553,84599
4/21/2019 17:00,9504,2376,86975
4/21/2019 17:15,9844,2461,89436
4/21/2019 17:30,8936,2234,91670
4/21/2019 17:45,5592,1398,93068
4/21/2019 18:00,2808,702,93770
4/21/2019 18:15,1164,291,94061
4/21/2019 18:30,656,164,94225
4/21/2019 18:45,660,165,94390
4/21/2019 19:00,664,166,94556
4/21/2019 19:15,336,84,94640
4/21/2019 19:30,136,34,94674
4/21/2019 19:45,32,8,94682
4/21/2019 20:00,0,0,94682
4/21/2019 20:15,0,0,94682
4/21/2019 20:30,0,0,94682
4/21/2019 20:45,0,0,94682
4/21/2019 21:00,0,0,94682
4/21/2019 21:15,0,0,94682
4/21/2019 21:30,0,0,94682
4/21/2019 21:45,0,0,94682
4/21/2019 22:00,0,0,94682
4/21/2019 22:15,0,0,94682
4/21/2019 22:30,0,0,94682
4/21/2019 22:45,0,0,94682
4/21/2019 23:00,0,0,94682
4/21/2019 23:15,0,0,94682
4/21/2019 23:30,0,0,94682
4/21/2019 23:45,0,0,94682
4/22/2019 0:00,0,0,94682
4/22/2019 0:15,0,0,94682
4/22/2019 0:30,0,0,94682
4/22/2019 0:45,0,0,94682
4/22/2019 1:00,0,0,94682
4/22/2019 1:15,0,0,94682
4/22/2019 1:30,0,0,94682
4/22/2019 1:45,0,0,94682
4/22/2019 2:00,0,0,94682
4/22/2019 2:15,0,0,94682
4/22/2019 2:30,0,0,94682
4/22/2019 2:45,0,0,94682
4/22/2019 3:00,0,0,94682
4/22/2019 3:15,0,0,94682
4/22/2019 3:30,0,0,94682
4/22/2019 3:45,0,0,94682
4/22/2019 4:00,0,0,94682
4/22/2019 4:15,0,0,94682
4/22/2019 4:30,0,0,94682
4/22/2019 4:45,0,0,94682
4/22/2019 5:00,0,0,94682
4/22/2019 5:15,0,0,94682
4/22/2019 5:30,0,0,94682
4/22/2019 5:45,0,0,94682
4/22/2019 6:00,0,0,94682
4/22/2019 6:15,0,0,94682
4/22/2019 6:30,0,0,94682
4/22/2019 6:45,0,0,94682
4/22/2019 7:00,0,0,94682
4/22/2019 7:15,0,0,94682
4/22/2019 7:30,0,0,94682
4/22/2019 7:45,0,0,94682
4/22/2019 8:00,0,0,94682
4/22/2019 8:15,16,4,94686
4/22/2019 8:30,272,68,94754
4/22/2019 8:45,500,125,94879
4/22/2019 9:00,680,170,95049
4/22/2019 9:15,1012,253,95302
4/22/2019 9:30,1308,327,95629
4/22/2019 9:45,1224,306,95935
4/22/2019 10:00,804,201,96136
4/22/2019 10:15,632,158,96294
4/22/2019 10:30,864,216,96510
4/22/2019 10:45,1088,272,96782
4/22/2019 11:00,1184,296,97078
4/22/2019 11:15,1944,486,97564
4/22/2019 11:30,1704,426,97990
4/22/2019 11:45,1712,428,98418
4/22/2019 12:00,2452,613,99031
4/22/2019 12:15,1484,371,99402
4/22/2019 12:30,1848,462,99864
4/22/2019 12:45,2768,692,100556
4/22/2019 13:00,2308,577,101133
4/22/2019 13:15,1476,369,101502
4/22/2019 13:30,1608,402,101904
4/22/2019 13:45,2920,730,102634
4/22/2019 14:00,4016,1004,103638
4/22/2019 14:15,4568,1142,104780
4/22/2019 14:30,4936,1234,106014
4/22/2019 14:45,4264,1066,107080
4/22/2019 15:00,3804,951,108031
4/22/2019 15:15,3896,974,109005
4/22/2019 15:30,2832,708,109713
4/22/2019 15:45,2100,525,110238
4/22/2019 16:00,2180,545,110783
4/22/2019 16:15,1920,480,111263
4/22/2019 16:30,2240,560,111823
4/22/2019 16:45,2204,551,112374
4/22/2019 17:00,2196,549,112923
4/22/2019 17:15,2300,575,113498
4/22/2019 17:30,3036,759,114257
4/22/2019 17:45,3884,971,115228
4/22/2019 18:00,2964,741,115969
4/22/2019 18:15,3228,807,116776
4/22/2019 18:30,3752,938,117714
4/22/2019 18:45,2872,718,118432
4/22/2019 19:00,2036,509,118941
4/22/2019 19:15,1392,348,119289
4/22/2019 19:30,952,238,119527
4/22/2019 19:45,552,138,119665
4/22/2019 20:00,248,62,119727
4/22/2019 20:15,24,6,119733
4/22/2019 20:30,0,0,119733
4/22/2019 20:45,0,0,119733
4/22/2019 21:00,0,0,119733
4/22/2019 21:15,0,0,119733
4/22/2019 21:30,0,0,119733
4/22/2019 21:45,0,0,119733
4/22/2019 22:00,0,0,119733
4/22/2019 22:15,0,0,119733
4/22/2019 22:30,0,0,119733
4/22/2019 22:45,0,0,119733
4/22/2019 23:00,0,0,119733
4/22/2019 23:15,0,0,119733
4/22/2019 23:30,0,0,119733
4/22/2019 23:45,0,0,119733
4/23/2019 0:00,0,0,119733
4/23/2019 0:15,0,0,119733
4/23/2019 0:30,0,0,119733
4/23/2019 0:45,0,0,119733
4/23/2019 1:00,0,0,119733
4/23/2019 1:15,0,0,119733
4/23/2019 1:30,0,0,119733
4/23/2019 1:45,0,0,119733
4/23/2019 2:00,0,0,119733
4/23/2019 2:15,0,0,119733
4/23/2019 2:30,0,0,119733
4/23/2019 2:45,0,0,119733
4/23/2019 3:00,0,0,119733
4/23/2019 3:15,0,0,119733
4/23/2019 3:30,0,0,119733
4/23/2019 3:45,0,0,119733
4/23/2019 4:00,0,0,119733
4/23/2019 4:15,0,0,119733
4/23/2019 4:30,0,0,119733
4/23/2019 4:45,0,0,119733
4/23/2019 5:00,0,0,119733
4/23/2019 5:15,0,0,119733
4/23/2019 5:30,0,0,119733
4/23/2019 5:45,0,0,119733
4/23/2019 6:00,0,0,119733
4/23/2019 6:15,0,0,119733
4/23/2019 6:30,44,11,119744
4/23/2019 6:45,272,68,119812
4/23/2019 7:00,440,110,119922
4/23/2019 7:15,624,156,120078
4/23/2019 7:30,784,196,120274
4/23/2019 7:45,988,247,120521
4/23/2019 8:00,1164,291,120812
4/23/2019 8:15,1464,366,121178
4/23/2019 8:30,2224,556,121734
4/23/2019 8:45,3284,821,122555
4/23/2019 9:00,4528,1132,123687
4/23/2019 9:15,5932,1483,125170
4/23/2019 9:30,7356,1839,127009
4/23/2019 9:45,8764,2191,129200
4/23/2019 10:00,10184,2546,131746
4/23/2019 10:15,11500,2875,134621
4/23/2019 10:30,12672,3168,137789
4/23/2019 10:45,13744,3436,141225
4/23/2019 11:00,14772,3693,144918
4/23/2019 11:15,15660,3915,148833
4/23/2019 11:30,16464,4116,152949
4/23/2019 11:45,17252,4313,157262
4/23/2019 12:00,17868,4467,161729
4/23/2019 12:15,18340,4585,166314
4/23/2019 12:30,18700,4675,170989
4/23/2019 12:45,19080,4770,175759
4/23/2019 13:00,19268,4817,180576
4/23/2019 13:15,19520,4880,185456
4/23/2019 13:30,19764,4941,190397
4/23/2019 13:45,19508,4877,195274
4/23/2019 14:00,19404,4851,200125
4/23/2019 14:15,16680,4170,204295
4/23/2019 14:30,19048,4762,209057
4/23/2019 14:45,15588,3897,212954
4/23/2019 15:00,18848,4712,217666
4/23/2019 15:15,17808,4452,222118
4/23/2019 15:30,16292,4073,226191
4/23/2019 15:45,15764,3941,230132
4/23/2019 16:00,15476,3869,234001
4/23/2019 16:15,14084,3521,237522
4/23/2019 16:30,11840,2960,240482
4/23/2019 16:45,11368,2842,243324
4/23/2019 17:00,10540,2635,245959
4/23/2019 17:15,6868,1717,247676
4/23/2019 17:30,5904,1476,249152
4/23/2019 17:45,4836,1209,250361
4/23/2019 18:00,6248,1562,251923
4/23/2019 18:15,4808,1202,253125
4/23/2019 18:30,3268,817,253942
4/23/2019 18:45,2504,626,254568
4/23/2019 19:00,1592,398,254966
4/23/2019 19:15,1164,291,255257
4/23/2019 19:30,740,185,255442
4/23/2019 19:45,468,117,255559
4/23/2019 20:00,212,53,255612
4/23/2019 20:15,24,6,255618
4/23/2019 20:30,0,0,255618
4/23/2019 20:45,0,0,255618
4/23/2019 21:00,0,0,255618
4/23/2019 21:15,0,0,255618
4/23/2019 21:30,0,0,255618
4/23/2019 21:45,0,0,255618
4/23/2019 22:00,0,0,255618
4/23/2019 22:15,0,0,255618
4/23/2019 22:30,0,0,255618
4/23/2019 22:45,0,0,255618
4/23/2019 23:00,0,0,255618
4/23/2019 23:15,0,0,255618
4/23/2019 23:30,0,0,255618
4/23/2019 23:45,0,0,255618
4/24/2019 0:00,0,0,255618
4/24/2019 0:15,0,0,255618
4/24/2019 0:30,0,0,255618
4/24/2019 0:45,0,0,255618
4/24/2019 1:00,0,0,255618
4/24/2019 1:15,0,0,255618
4/24/2019 1:30,0,0,255618
4/24/2019 1:45,0,0,255618
4/24/2019 2:00,0,0,255618
4/24/2019 2:15,0,0,255618
4/24/2019 2:30,0,0,255618
4/24/2019 2:45,0,0,255618
4/24/2019 3:00,0,0,255618
4/24/2019 3:15,0,0,255618
4/24/2019 3:30,0,0,255618
4/24/2019 3:45,0,0,255618
4/24/2019 4:00,0,0,255618
4/24/2019 4:15,0,0,255618
4/24/2019 4:30,0,0,255618
4/24/2019 4:45,0,0,255618
4/24/2019 5:00,0,0,255618
4/24/2019 5:15,0,0,255618
4/24/2019 5:30,0,0,255618
4/24/2019 5:45,0,0,255618
4/24/2019 6:00,0,0,255618
4/24/2019 6:15,0,0,255618
4/24/2019 6:30,0,0,255618
4/24/2019 6:45,116,29,255647
4/24/2019 7:00,336,84,255731
4/24/2019 7:15,464,116,255847
4/24/2019 7:30,688,172,256019
4/24/2019 7:45,1000,250,256269
4/24/2019 8:00,1296,324,256593
4/24/2019 8:15,2120,530,257123
4/24/2019 8:30,2312,578,257701
4/24/2019 8:45,2336,584,258285
4/24/2019 9:00,1544,386,258671
4/24/2019 9:15,1608,402,259073
4/24/2019 9:30,2172,543,259616
4/24/2019 9:45,2792,698,260314
4/24/2019 10:00,2860,715,261029
4/24/2019 10:15,2352,588,261617
4/24/2019 10:30,2744,686,262303
4/24/2019 10:45,2560,640,262943
4/24/2019 11:00,1252,313,263256
4/24/2019 11:15,1224,306,263562
4/24/2019 11:30,2520,630,264192
4/24/2019 11:45,4552,1138,265330
4/24/2019 12:00,9140,2285,267615
4/24/2019 12:15,6760,1690,269305
4/24/2019 12:30,8456,2114,271419
4/24/2019 12:45,11972,2993,274412
4/24/2019 13:00,18300,4575,278987
4/24/2019 13:15,19992,4998,283985
4/24/2019 13:30,19964,4991,288976
4/24/2019 13:45,19040,4760,293736
4/24/2019 14:00,20328,5082,298818
4/24/2019 14:15,19772,4943,303761
4/24/2019 14:30,19644,4911,308672
4/24/2019 14:45,19516,4879,313551
4/24/2019 15:00,18980,4745,318296
4/24/2019 15:15,17540,4385,322681
4/24/2019 15:30,17768,4442,327123
4/24/2019 15:45,16668,4167,331290
4/24/2019 16:00,15760,3940,335230
4/24/2019 16:15,14972,3743,338973
4/24/2019 16:30,12556,3139,342112
4/24/2019 16:45,11412,2853,344965
4/24/2019 17:00,10044,2511,347476
4/24/2019 17:15,9116,2279,349755
4/24/2019 17:30,8808,2202,351957
4/24/2019 17:45,7744,1936,353893
4/24/2019 18:00,5752,1438,355331
4/24/2019 18:15,5168,1292,356623
4/24/2019 18:30,2816,704,357327
4/24/2019 18:45,812,203,357530
4/24/2019 19:00,316,79,357609
4/24/2019 19:15,556,139,357748
4/24/2019 19:30,204,51,357799
4/24/2019 19:45,0,0,357799
4/24/2019 20:00,0,0,357799
4/24/2019 20:15,0,0,357799
4/24/2019 20:30,0,0,357799
4/24/2019 20:45,0,0,357799
4/24/2019 21:00,0,0,357799
4/24/2019 21:15,0,0,357799
4/24/2019 21:30,0,0,357799
